Time_s,Voltage,Acc0,Acc1
5.565650645,-0.130591895,-0.00113811,-0.001298995
5.566236811,-0.130351001,-0.001077603,-0.001264836
5.566822978,-0.130082418,-0.001058453,-0.001237348
5.567409144,-0.129784934,-0.001081025,-0.001219777
5.567995311,-0.129456966,-0.001139009,-0.00121443
5.568581477,-0.129096499,-0.0012206,-0.001222146
5.569167644,-0.12870107,-0.001310669,-0.001242051
5.56975381,-0.128267819,-0.00139354,-0.001271624
5.570339977,-0.127793653,-0.001455854,-0.001307022
5.570926143,-0.127275477,-0.001488958,-0.001343669
5.571512309,-0.126710477,-0.001490349,-0.001377008
5.572098476,-0.126096424,-0.001463879,-0.001403262
5.572684642,-0.12543201,-0.001418695,-0.001419963
5.573270809,-0.12471717,-0.001367154,-0.001426144
5.573856975,-0.123953364,-0.001322132,-0.001422205
5.574443142,-0.123143701,-0.001294276,-0.001409581
5.575029308,-0.122292825,-0.00128972,-0.001390331
5.575615475,-0.121406505,-0.001308714,-0.001366687
5.576201641,-0.120490978,-0.001345416,-0.001340574
5.576787808,-0.11955216,-0.001388887,-0.001313147
5.577373974,-0.118594926,-0.001425122,-0.001284455
5.577960141,-0.117622611,-0.00143974,-0.001253363
5.578546307,-0.116636795,-0.001420839,-0.001217808
5.579132474,-0.115637353,-0.001361462,-0.001175345
5.57971864,-0.114622688,-0.001261177,-0.001123818
5.580304807,-0.113590057,-0.001126432,-0.00106196
5.580890973,-0.11253595,-0.000969613,-0.000989777
5.58147714,-0.111456501,-0.000806966,-0.000908668
5.582063306,-0.11034791,-0.000655779,-0.000821319
5.582649472,-0.109206855,-0.000531367,-0.000731423
5.583235639,-0.108030856,-0.000444419,-0.000643287
5.583821805,-0.10681858,-0.000399198,-0.000561315
5.584407972,-0.105570054,-0.000392916,-0.000489401
5.584994138,-0.104286741,-0.000416393,-0.000430345
5.585580305,-0.102971408,-0.000455875,-0.000385409
5.586166471,-0.101627753,-0.000495684,-0.00035417
5.586752638,-0.100259782,-0.000521206,-0.000334706
5.587338804,-0.098871071,-0.000521644,-0.000324062
5.587924971,-0.097464076,-0.000491988,-0.000318862
5.588511137,-0.096039673,-0.000433821,-0.000315905
5.589097304,-0.094597099,-0.000354805,-0.000312622
5.58968347,-0.093134281,-0.000266974,-0.000307306
5.590269637,-0.091648483,-0.000184203,-0.000299147
5.590855803,-0.090137046,-0.000119359,-0.000288095
5.59144197,-0.08859805,-8.17E-05,-0.000274622
5.592028136,-0.087030734,-7.50E-05,-0.000259428
5.592614302,-0.085435614,-9.68E-05,-0.00024314
5.593200469,-0.083814342,-0.00013889,-0.00022603
5.593786635,-0.082169341,-0.00018868,-0.000207828
5.594372802,-0.08050332,-0.000231803,-0.000187685
5.594958968,-0.078818773,-0.000254735,-0.000164311
5.595545135,-0.077117553,-0.000247413,-0.000136283
5.596131301,-0.07540065,-0.000205167,-0.00010243
5.596717468,-0.073668212,-0.000129607,-6.22E-05
5.597303634,-0.071919825,-2.83E-05,-1.57E-05
5.597889801,-0.070154953,8.67E-05,3.62E-05
5.598475967,-0.068373386,0.000201273,9.19E-05
5.599062134,-0.066575577,0.000301761,0.000149498
5.5996483,-0.064762786,0.000377786,0.00020713
5.600234467,-0.06293704,0.000424103,0.000263023
5.600820633,-0.061100972,0.00044158,0.000315986
5.6014068,-0.059257608,0.000436975,0.000365598
5.601992966,-0.057410131,0.000421571,0.000412251
5.602579132,-0.055561636,0.000408927,0.000456991
5.603165299,-0.053714841,0.000412172,0.000501223
5.603751465,-0.051871762,0.00044137,0.000546367
5.604337632,-0.050033432,0.000501472,0.000593519
5.604923798,-0.048199729,0.00059128,0.000643184
5.605509965,-0.046369372,0.000703626,0.000695101
5.606096131,-0.044540058,0.00082673,0.000748243
5.606682298,-0.042708669,0.000946469,0.000801021
5.607268464,-0.040871492,0.00104908,0.000851661
5.607854631,-0.039024463,0.001123794,0.000898611
5.608440797,-0.03716348,0.001164869,0.000940858
5.609026964,-0.035284833,0.001172647,0.000978056
5.60961313,-0.033385723,0.001153441,0.001010503
5.610199297,-0.031464755,0.001118282,0.001039041
5.610785463,-0.029522357,0.001080759,0.001064911
5.61137163,-0.027561034,0.001054385,0.001089552
5.611957796,-0.025585435,0.001049969,0.0011143
5.612543962,-0.023602175,0.001073515,0.001140037
5.613130129,-0.021619359,0.001125045,0.001166908
5.613716295,-0.019645826,0.001198585,0.001194221
5.614302462,-0.0176902,0.001283297,0.00122059
5.614888628,-0.015759875,0.001365552,0.001244226
5.615474795,-0.013860094,0.001431541,0.001263268
5.616060961,-0.011993289,0.001469932,0.001276065
5.616647128,-0.010158809,0.001474059,0.001281406
5.617233294,-0.008353132,0.001443236,0.001278742
5.617819461,-0.006570527,0.001382942,0.001268368
5.618405627,-0.004804036,0.00130383,0.001251506
5.618991794,-0.003046606,0.001219765,0.001230191
5.61957796,-0.001292121,0.00114525,0.001206936
5.620164127,0.000463822,0.001092734,0.001184299
5.620750293,0.002223521,0.001070342,0.001164491
5.62133646,0.003987158,0.001080454,0.001149135
5.621922626,0.005753085,0.001119422,0.001139201
5.622508792,0.007518266,0.001178472,0.001135047
5.623094959,0.009278727,0.001245601,0.001136549
5.623681125,0.011029984,0.001308092,0.001143296
5.624267292,0.012767433,0.001355142,0.001154867
5.624853458,0.014486773,0.001380096,0.001171127
5.625439625,0.016184408,0.001381851,0.001192436
5.626025791,0.017857772,0.001365159,0.001219684
5.626611958,0.019505483,0.001339764,0.001254104
5.627198124,0.0211273,0.001318532,0.001296971
5.627784291,0.022723941,0.001314922,0.001349259
5.628370457,0.024296821,0.001340294,0.001411364
5.628956624,0.025847729,0.001401553,0.001482874
5.62954279,0.027378475,0.001499608,0.001562415
5.630128957,0.028890519,0.001628936,0.001647592
5.630715123,0.030384668,0.00177836,0.001735105
5.63130129,0.031860926,0.001932871,0.001821069
5.631887456,0.033318549,0.002076188,0.001901484
5.632473623,0.034756286,0.002193545,0.001972731
5.633059789,0.036172728,0.002274214,0.002031966
5.633645955,0.037566662,0.002313277,0.002077368
5.634232122,0.038937332,0.002312335,0.002108248
5.634818288,0.040284536,0.002279003,0.002125027
5.635404455,0.041608518,0.002225312,0.002129082
5.635990621,0.042909709,0.002165298,0.002122439
5.636576788,0.044188398,0.002112267,0.002107354
5.637162954,0.045444435,0.002076244,0.002085878
5.637749121,0.04667702,0.002062124,0.002059538
5.638335287,0.047884594,0.002068858,0.002029215
5.638921454,0.049064799,0.002089868,0.001995209
5.63950762,0.050214534,0.002114555,0.001957437
5.640093787,0.051330136,0.002130644,0.001915706
5.640679953,0.052407751,0.002126856,0.001870015
5.64126612,0.053443881,0.002095409,0.001820874
5.641852286,0.054435979,0.002033827,0.001769544
5.642438453,0.055382931,0.00194571,0.001718113
5.643024619,0.056285278,0.001840301,0.001669332
5.643610785,0.057145101,0.00173091,0.00162626
5.644196952,0.05796564,0.001632504,0.001591812
5.644783118,0.058750751,0.001558906,0.001568324
5.645369285,0.059504344,0.001520158,0.001557193
5.645955451,0.060229926,0.001520575,0.001558593
5.646541618,0.060930348,0.001557859,0.00157133
5.647127784,0.061607752,0.001623463,0.001592884
5.647713951,0.062263664,0.001704125,0.001619725
5.648300117,0.062899094,0.00178428,0.001647862
5.648886284,0.063514568,0.001848898,0.001673467
5.64947245,0.06411005,0.001886212,0.001693394
5.650058617,0.064684793,0.001889831,0.001705494
5.650644783,0.065237205,0.001859831,0.001708752
5.65123095,0.065764764,0.001802626,0.001703311
5.651817116,0.066264046,0.00172963,0.001690405
5.652403283,0.066730882,0.001654973,0.001672137
5.652989449,0.067160629,0.001592695,0.001651052
5.653575615,0.067548538,0.001553971,0.00162958
5.654161782,0.067890149,0.00154489,0.001609516
5.654747948,0.068181706,0.001565238,0.001591718
5.655334115,0.068420561,0.001608521,0.001576104
5.655920281,0.068605506,0.001663222,0.001561851
5.656506448,0.068736961,0.001715071,0.001547688
5.657092614,0.06881696,0.001749877,0.001532195
5.657678781,0.068848908,0.001756389,0.00151414
5.658264947,0.068837135,0.001728619,0.001492851
5.658851114,0.068786307,0.001667175,0.001468578
5.65943728,0.068700821,0.001579347,0.001442672
5.660023447,0.068584317,0.001477902,0.001417449
5.660609613,0.068439391,0.001378796,0.001395738
5.66119578,0.06826755,0.001298252,0.001380267
5.661781946,0.068069354,0.001249716,0.001373107
5.662368113,0.067844657,0.001241308,0.001375274
5.662954279,0.06759284,0.001274232,0.001386544
5.663540445,0.067312966,0.001342472,0.001405423
5.664126612,0.067003845,0.001433811,0.001429282
5.664712778,0.066664022,0.001532,0.00145467
5.665298945,0.066291749,0.001619648,0.001477795
5.665885111,0.065884998,0.001681298,0.001495106
5.666471278,0.065441559,0.001706129,0.001503817
5.667057444,0.064959259,0.001689776,0.001502261
5.667643611,0.064436288,0.00163495,0.001490002
5.668229777,0.063871557,0.001550752,0.001467744
5.668815944,0.063264997,0.00145081,0.001437095
5.66940211,0.062617687,0.001350616,0.001400247
5.669988277,0.061931766,0.001264557,0.00135959
5.670574443,0.061210107,0.001203213,0.001317312
5.67116061,0.060455816,0.001171454,0.001275038
5.671746776,0.059671676,0.001167669,0.001233611
5.672332943,0.058859642,0.001184278,0.001193073
5.672919109,0.058020519,0.00120941,0.001152856
5.673505275,0.057153903,0.00122939,0.001112117
5.674091442,0.056258446,0.001231576,0.001070127
5.674677608,0.05533235,0.001206973,0.001026592
5.675263775,0.054373972,0.001152128,0.000981862
5.675849941,0.053382343,0.001069939,0.000936992
5.676436108,0.052357475,0.000969206,0.000893659
5.677022274,0.051300402,0.000863008,0.000853926
5.677608441,0.050212996,0.000766209,0.000819876
5.678194607,0.049097611,0.000692574,0.000793156
5.678780774,0.04795668,0.000652051,0.000774551
5.67936694,0.046792297,0.000648749,0.000763705
5.679953107,0.045605862,0.000680019,0.000759073
5.680539273,0.044397815,0.000736806,0.000758115
5.68112544,0.043167513,0.000805211,0.000757649
5.681711606,0.041913281,0.000868963,0.000754283
5.682297773,0.040632654,0.000912326,0.000744856
5.682883939,0.039322779,0.000922907,0.000726848
5.683470106,0.037980914,0.000893814,0.000698688
5.684056272,0.036604932,0.000824803,0.00065993
5.684642438,0.035193726,0.000722183,0.000611241
5.685228605,0.033747447,0.000597516,0.000554206
5.685814771,0.032267515,0.000465381,0.00049101
5.686400938,0.030756427,0.000340605,0.00042406
5.686987104,0.029217437,0.00023551,0.000355605
5.687573271,0.027654204,0.000157692,0.000287415
5.688159437,0.026070491,0.000108758,0.000220564
5.688745604,0.024469913,8.42E-05,0.000155371
5.68933177,0.022855724,7.47E-05,9.15E-05
5.689917937,0.021230618,6.78E-05,2.83E-05
5.690504103,0.01959653,5.09E-05,-3.52E-05
5.69109027,0.017954455,1.38E-05,-9.94E-05
5.691676436,0.016304322,-4.94E-05,-0.000164412
5.692262603,0.014644982,-0.000138404,-0.000229611
5.692848769,0.012974354,-0.000247272,-0.000293483
5.693434936,0.011289752,-0.000364977,-0.000353856
5.694021102,0.009588322,-0.000477625,-0.000408202
5.694607268,0.007867481,-0.000571042,-0.00045409
5.695193435,0.00612527,-0.000633491,-0.000489622
5.695779601,0.004360551,-0.000657961,-0.000513759
5.696365768,0.002573102,-0.000643585,-0.000526487
5.696951934,0.00076366,-0.000595907,-0.00052886
5.697538101,-0.001066049,-0.000525954,-0.000522916
5.698124267,-0.002913329,-0.000448281,-0.000511445
5.698710434,-0.004774634,-0.000378377,-0.000497632
5.6992966,-0.006645828,-0.000329921,-0.000484609
5.699882767,-0.008522566,-0.000312399,-0.000475048
5.700468933,-0.010400748,-0.000329534,-0.000470908
5.7010551,-0.012276968,-0.000378817,-0.000473346
5.701641266,-0.014148863,-0.000452192,-0.000482755
5.702227433,-0.01601531,-0.000537785,-0.000498861
5.702813599,-0.017876482,-0.000622295,-0.000520862
5.703399766,-0.01973374,-0.00069362,-0.000547655
5.703985932,-0.021589401,-0.000743191,-0.000578129
5.704572098,-0.023446357,-0.000767571,-0.000611453
5.705158265,-0.025307611,-0.000769034,-0.000647259
5.705744431,-0.027175795,-0.000754994,-0.000685624
5.706330598,-0.02905276,-0.000736431,-0.000726901
5.706916764,-0.030939316,-0.000725607,-0.000771484
5.707502931,-0.032835142,-0.000733532,-0.000819605
5.708089097,-0.034738874,-0.00076766,-0.000871172
